Mac address,IP address,Total number of acks
c8:f6:50:d6:7d:f6,10.125.222.66,8
c8:f6:50:ca:ff:e7,10.171.205.211,2
c8:f6:50:a1:8d:92,10.120.220.196,6
6c:70:9f:7a:a3:bf,10.172.219.23,4
c8:f6:50:d7:27:88,10.125.222.78,2
c8:f6:50:e6:85:f7,10.119.222.51,6
2c:f0:ee:95:63:f3,10.171.206.233,2
04:e5:36:09:cb:5b,10.103.222.93,2
c8:f6:50:a2:ec:f7,10.106.222.71,4
2c:f0:ee:97:2b:a2,10.191.156.24,2
c8:f6:50:5d:f8:ac,10.110.222.11,6
c8:bc:c8:c7:f4:22,10.125.221.239,2
6c:70:9f:78:9d:15,10.126.220.183,6
c8:f6:50:a1:88:e3,10.119.221.96,6
78:3a:84:d1:5c:b7,10.121.221.143,6
c8:f6:50:a1:e4:a3,10.192.197.194,6
00:23:12:25:45:f0,10.109.221.169,2
78:3a:84:af:9a:07,10.131.222.71,4
c8:f6:50:d6:14:d0,10.105.199.234,6
04:0c:ce:1b:43:39,10.144.222.4,2
04:0c:ce:1b:39:6d,10.143.222.35,2
c8:f6:50:d6:1c:7b,10.125.222.71,6
78:fd:94:40:28:5c,10.111.221.125,6
c8:f6:50:a2:bb:df,10.113.221.195,6
78:3a:84:ce:e9:ca,10.111.221.131,4
78:3a:84:b0:1c:94,10.104.221.2,6
c8:f6:50:a1:9c:36,10.101.222.61,6
2c:27:d7:3e:ea:e7,10.145.118.61,1
c8:f6:50:a1:9c:87,10.173.217.56,4
78:fd:94:3f:d2:bb,10.103.221.99,2
b8:e8:56:7e:df:13,10.191.214.13,4
78:3a:84:b2:92:27,10.126.218.150,2
c8:f6:50:a2:73:47,10.173.217.44,6
c8:f6:50:a1:95:c7,10.111.221.130,6
c8:f6:50:a1:d6:9b,10.141.217.42,6
78:3a:84:8c:6e:dc,10.106.221.131,6
78:3a:84:af:73:64,10.122.221.114,6
78:3a:84:c8:8c:bf,10.111.221.135,6
c8:f6:50:a1:5f:6b,10.119.222.43,2
c8:f6:50:cb:f9:fd,10.147.219.70,6
a8:88:08:bb:bd:40,10.103.222.143,6
04:0c:ce:1b:44:b6,10.126.222.27,2
78:3a:84:ca:7e:28,10.114.222.72,4
c8:f6:50:a2:a7:6e,10.126.220.96,2
78:3a:84:cb:33:af,10.121.221.254,4
70:cd:60:ff:0a:72,10.131.222.39,2
6c:70:9f:7b:53:38,10.172.218.106,4
78:3a:84:c8:48:df,10.121.221.135,2
c8:f6:50:a1:90:ab,10.141.217.229,4
00:23:32:9e:e9:b7,10.172.126.220,4
04:0c:ce:1b:3b:98,10.171.219.100,2
c8:f6:50:d7:3a:30,10.115.220.213,2
00:23:12:25:4b:17,10.172.219.73,6
c8:f6:50:e5:ce:ff,10.173.216.11,4
c8:f6:50:cd:7e:2c,10.171.205.182,2
c8:f6:50:a1:de:7e,10.119.222.30,6
a8:88:08:d8:5b:16,10.171.214.242,6
c8:f6:50:e5:75:06,10.173.216.7,6
c8:f6:50:cc:a0:8e,10.144.219.135,6
c8:f6:50:a2:bd:38,10.145.220.139,2
78:fd:94:44:0e:8a,10.192.197.196,4
c8:f6:50:d4:9e:62,10.106.222.47,6
c8:bc:c8:bf:30:39,10.191.219.87,6
78:3a:84:ad:b4:00,10.144.220.118,6
6c:70:9f:7b:2a:0d,10.122.222.87,4
c8:f6:50:e0:45:ba,10.173.192.1,8
78:3a:84:b9:6c:1e,10.144.220.176,6
c8:f6:50:e6:87:ad,10.173.216.10,6
c8:f6:50:a2:e4:87,10.106.222.50,6
44:2a:60:db:a7:6e,10.123.223.54,2
78:3a:84:cd:63:b9,10.121.222.8,4
c8:f6:50:e6:ff:56,10.115.220.210,4
4c:b1:99:26:29:39,10.191.223.31,2
78:3a:84:ce:c9:b5,10.121.221.137,6
04:0c:ce:1b:3a:94,10.171.219.82,2
c8:f6:50:cc:af:8f,10.144.219.138,2
c8:f6:50:cd:ce:93,10.171.206.159,4
b0:10:41:2b:dc:53,10.123.221.212,2
00:23:12:25:36:9d,10.143.219.192,2
b0:10:41:2b:db:cf,10.123.221.146,2
c8:f6:50:cd:de:da,10.171.206.157,2
c8:f6:50:cc:73:d0,10.142.220.107,6
c8:f6:50:a6:9e:e3,10.125.221.168,6
78:3a:84:c9:e0:31,10.107.221.93,6
c8:f6:50:c9:93:d5,10.172.216.96,2
c8:f6:50:e1:26:2b,10.119.222.33,4
c8:f6:50:d6:e2:5e,10.173.217.39,6
04:0c:ce:1b:3f:dd,10.146.222.189,2
00:1f:29:1f:e9:11,10.191.79.3,2
78:3a:84:cb:5c:b2,10.122.221.137,6
04:15:52:a0:b7:1a,10.172.219.177,4
b4:b5:2f:f7:c0:6f,10.192.116.228,1
b4:b5:2f:f7:c0:6f,10.192.79.10,2
78:fd:94:43:24:15,10.120.220.233,4
04:0c:ce:1b:44:35,10.126.221.223,2
00:23:12:25:4a:66,10.144.219.102,2
c8:f6:50:a1:d2:c3,10.113.220.159,6
c8:f6:50:a1:99:5d,10.101.222.54,6
78:3a:84:8b:5a:cc,10.104.221.6,12
8c:2d:aa:3b:fe:7d,10.172.220.89,2
c8:f6:50:62:5e:33,10.110.221.253,2
78:3a:84:c0:ab:5e,10.144.220.106,6
78:3a:84:b5:f3:e6,10.122.221.126,4
c8:f6:50:df:9a:d6,10.173.217.48,4
c8:f6:50:cc:56:90,10.145.220.47,2
00:23:12:25:60:91,10.125.222.13,2
00:23:12:25:4c:62,10.121.221.218,2
00:10:49:1b:d5:4d,10.173.238.205,2
00:10:49:1c:25:bb,10.173.239.84,2
e8:39:35:3a:0e:94,10.145.118.59,1
e8:39:35:3a:0e:94,10.145.35.77,2
c8:f6:50:a1:82:7e,10.105.199.235,6
6c:70:9f:7b:2d:7c,10.126.220.128,6
c8:f6:50:a1:dc:53,10.125.221.163,6
78:3a:84:c7:59:68,10.106.221.152,6
6c:70:9f:7b:33:eb,10.126.220.189,2
78:3a:84:c6:04:8d,10.113.220.175,4
c8:f6:50:d4:bf:57,10.172.216.90,2
6c:70:9f:7b:39:58,10.122.222.98,6
78:3a:84:bd:4e:80,10.126.220.121,2
a8:88:08:9d:e2:ae,10.171.216.174,6
c8:f6:50:e6:ff:50,10.125.221.167,6
78:3a:84:cc:4f:c5,10.121.221.130,6
b0:65:bd:6a:11:5f,10.141.222.108,6
10:9a:dd:af:ed:6f,10.109.223.137,4
78:3a:84:c7:08:ee,10.111.221.111,6
78:3a:84:c5:8e:ec,10.104.220.252,6
c8:f6:50:e4:a7:5c,10.173.217.72,2
00:23:12:25:49:90,10.144.219.87,2
6c:70:9f:7b:26:b0,10.122.222.114,2
78:3a:84:94:28:4e,10.144.218.224,2
c8:f6:50:62:9d:9c,10.110.222.10,6
c8:f6:50:e8:11:9e,10.173.215.253,4
6c:70:9f:79:b7:2a,10.147.219.204,6
00:10:49:1a:4a:78,10.173.239.120,2
c8:f6:50:e6:4e:e3,10.142.221.94,6
c8:f6:50:cc:a7:be,10.145.219.98,6
c8:f6:50:e7:e4:f3,10.119.221.237,4
c8:bc:c8:bf:32:70,10.191.222.31,2
10:9a:dd:ad:34:83,10.191.217.247,2
00:10:49:1b:d0:36,10.142.0.1,1
c8:f6:50:e8:13:6c,10.173.215.251,4
a8:bb:cf:21:a9:b2,10.191.214.242,2
70:cd:60:29:71:2e,10.191.126.113,2
c8:f6:50:e7:df:18,10.173.217.32,6
78:fd:94:73:8e:09,10.144.219.144,6
00:10:49:1b:d0:36,10.142.103.194,4
c8:f6:50:d7:0d:5c,10.115.220.171,6
10:9a:dd:54:e3:48,10.132.127.254,2
c8:f6:50:a1:da:9b,10.113.220.180,4
78:3a:84:cf:5e:62,10.113.220.172,2
78:fd:94:34:61:51,10.191.209.45,2
00:23:12:25:36:a6,10.143.223.138,2
78:3a:84:c9:c4:8d,10.104.221.1,6
c8:f6:50:cc:40:cb,10.172.218.17,4
c8:f6:50:cc:7c:05,10.171.205.180,8
9c:04:eb:90:d4:10,10.191.223.194,2
00:23:32:9e:9a:52,10.171.96.226,2
78:3a:84:92:81:15,10.144.219.184,4
78:3a:84:bf:25:b7,10.122.221.145,4
78:3a:84:b2:da:e1,10.144.220.123,6
c8:f6:50:a1:a2:bf,10.119.222.34,6
6c:70:9f:7b:26:9b,10.122.222.26,6
6c:70:9f:75:5a:9d,10.126.220.191,4
6c:70:9f:74:a4:06,10.147.219.205,2
c8:f6:50:d7:19:f8,10.115.220.170,4
c8:f6:50:d5:ea:9a,10.115.220.182,4
c8:f6:50:a4:1b:8f,10.119.222.40,6
c8:f6:50:65:8b:30,10.110.222.3,4
78:7e:61:c5:6a:dd,10.191.210.64,2
78:3a:84:cc:25:33,10.106.221.132,6
c8:f6:50:e7:c1:bf,10.172.217.183,4
00:23:12:25:60:2a,10.171.206.57,2
04:0c:ce:1b:46:f6,10.105.201.26,2
a8:88:08:d2:7d:68,10.171.215.6,6
78:3a:84:b5:65:1c,10.122.222.176,2
c8:f6:50:a2:81:28,10.119.222.35,4
c8:f6:50:e7:11:ad,10.115.220.205,2
c8:f6:50:e0:a3:18,10.124.222.9,2
78:3a:84:c3:39:05,10.111.221.138,4
78:fd:94:3b:11:21,10.142.220.241,4
78:3a:84:af:2e:cd,10.142.221.80,4
78:3a:84:d0:5f:88,10.120.220.206,6
c8:f6:50:e2:85:e6,10.173.215.247,2
78:3a:84:b4:7e:95,10.144.220.127,4
78:3a:84:af:bb:43,10.144.218.221,4
78:3a:84:b3:2e:b4,10.122.221.124,4
c8:f6:50:e7:93:ff,10.126.220.181,2
c8:f6:50:e7:78:58,10.115.220.190,2
c8:f6:50:a2:98:86,10.173.217.47,4
c8:f6:50:e2:36:ec,10.103.221.87,2
00:c6:10:4e:46:f5,10.191.149.41,2
c8:f6:50:e0:f2:56,10.173.215.245,6
6c:70:9f:7a:1d:26,10.122.222.71,4
c8:f6:50:e5:d3:43,10.173.216.5,4
c8:f6:50:a7:08:18,10.120.219.229,4
c8:f6:50:a2:fd:1e,10.106.222.40,4
c8:f6:50:c9:8b:23,10.191.169.45,2
78:fd:94:3d:0a:ce,10.107.220.230,2
00:23:12:25:4b:08,10.144.219.82,2
04:e5:36:0a:be:06,10.103.222.106,4
c8:f6:50:d4:b4:57,10.173.217.38,2
78:3a:84:8b:ee:e9,10.131.222.72,4
f0:db:f8:1c:01:12,10.144.220.190,2
78:3a:84:c8:21:70,10.107.220.223,6
78:3a:84:c5:ad:56,10.106.221.147,4
78:3a:84:ac:6a:22,10.122.221.144,4
78:3a:84:ab:fd:9e,10.104.221.4,2
04:e5:36:01:47:2b,10.103.222.217,4
74:46:a0:be:60:3e,10.194.127.248,2
78:3a:84:c9:81:87,10.121.221.131,2
78:3a:84:ac:0e:c7,10.144.220.193,6
00:25:4b:b0:38:8a,10.192.127.247,2
78:3a:84:cd:6f:7f,10.111.221.137,4
04:0c:ce:1b:44:a2,10.142.220.62,2
c8:f6:50:d7:2d:dc,10.119.221.100,2
c8:f6:50:a1:90:b1,10.101.221.142,4
00:10:49:1b:d0:08,10.191.239.148,2
5c:96:9d:90:10:b9,10.115.192.1,1
78:3a:84:cf:fd:e1,10.121.222.2,4
00:10:49:17:8b:52,10.191.239.101,2
c8:f6:50:d6:b8:24,10.115.220.206,4
c8:f6:50:d5:b1:5c,10.106.222.42,4
6c:70:9f:7b:83:1f,10.126.220.170,2
78:3a:84:b0:08:bd,10.104.220.248,4
c8:f6:50:e0:41:eb,10.119.222.14,4
00:10:49:17:8a:f4,10.191.239.164,2
c8:f6:50:a2:8d:56,10.120.221.58,4
a8:88:08:ce:f6:71,10.171.214.251,4
c8:f6:50:65:37:db,10.110.222.17,4
00:10:49:1c:28:2f,10.192.239.252,2
04:e5:36:03:7f:e5,10.103.222.213,4
c8:f6:50:d7:2f:60,10.173.216.0,4
a8:88:08:dd:f6:e4,10.171.214.239,4
c8:f6:50:a1:a5:69,10.101.222.46,4
00:10:49:17:8a:de,10.191.239.228,2
c8:f6:50:62:a1:ad,10.110.222.2,8
78:3a:84:cb:6d:e2,10.111.221.114,4
78:3a:84:c5:62:48,10.104.220.247,4
00:10:49:1a:47:ea,10.191.239.100,2
78:3a:84:ad:be:b2,10.106.221.140,4
c8:f6:50:d7:3a:e2,10.115.220.186,4
78:3a:84:cb:a2:4a,10.104.221.10,4
